"Tiempo de simulacion","Cantidad de aeronaves que aterrizaron","Tiempo total de espera en cola","Tiempo medio de espera en cola","Tiempo máximo de espera en cola","Tiempo total de transito","Tiempo medio de tránsito","Tiempo máximo de tránsito","Tiempo total de ocio de la pista","Porcentaje de tiempo de ocio","Tiempo máximo de ocio de la pista","Porcentaje de tiempo de ocio maximo","Tamaño máximo de la cola de espera"
"40320.00","2702","19009.00","7.04","45.00","55282.00","20.46","60.00","4057.00","10.06","12.00","0.30","4"
"40320.00","2685","17588.00","6.55","48.00","53538.00","19.94","61.00","4375.00","10.85","12.00","0.27","4"
"40320.00","2685","17588.00","6.55","48.00","53538.00","19.94","61.00","4375.00","10.85","12.00","0.27","4"
"40320.00","2695","21192.00","7.86","61.00","57398.00","21.30","76.00","4109.00","10.19","12.00","0.29","5"
"40320.00","2697","19672.00","7.29","78.00","55638.00","20.63","93.00","4358.00","10.81","12.00","0.28","6"
"40320.00","2697","19672.00","7.29","78.00","55638.00","20.63","93.00","4358.00","10.81","12.00","0.28","6"
"40320.00","2681","20505.00","7.65","78.00","56700.00","21.15","90.00","4125.00","10.23","12.00","0.29","6"
"40320.00","2717","27587.00","10.15","80.00","64150.00","23.61","95.00","3762.00","9.33","12.00","0.32","6"
"40320.00","2717","27587.00","10.15","80.00","64150.00","23.61","95.00","3762.00","9.33","12.00","0.32","6"
"40320.00","2666","13987.00","5.25","36.00","49654.00","18.62","53.00","4658.00","11.55","12.00","0.26","3"
"40320.00","2666","13987.00","5.25","36.00","49654.00","18.62","53.00","4658.00","11.55","12.00","0.26","3"
"40320.00","2688","17425.00","6.48","60.00","53144.00","19.77","75.00","4602.00","11.41","12.00","0.26","4"
"40320.00","2663","15679.00","5.89","40.00","51392.00","19.30","60.00","4600.00","11.41","12.00","0.26","3"
"40320.00","2663","15679.00","5.89","40.00","51392.00","19.30","60.00","4600.00","11.41","12.00","0.26","3"
"40320.00","2688","18926.00","7.04","75.00","55502.00","20.65","85.00","3750.00","9.30","12.00","0.32","5"
"40320.00","2688","18926.00","7.04","75.00","55502.00","20.65","85.00","3750.00","9.30","12.00","0.32","5"
"40320.00","2697","20630.00","7.65","71.00","56902.00","21.10","81.00","4058.00","10.06","12.00","0.30","5"
