"Tiempo de simulacion","Cantidad de aeronaves que aterrizaron","Tiempo total de espera en cola","Tiempo medio de espera en cola","Tiempo máximo de espera en cola","Tiempo total de transito","Tiempo medio de tránsito","Tiempo máximo de tránsito","Tiempo total de ocio de la pista","Porcentaje de tiempo de ocio","Tiempo máximo de ocio de la pista","Porcentaje de tiempo de ocio maximo","Tamaño máximo de la cola de espera"
"40320.00","2695","17945.00","6.66","45.00","54134.00","20.09","60.00","4141.00","10.27","12.00","0.29","3"
"40320.00","2695","17945.00","6.66","45.00","54134.00","20.09","60.00","4141.00","10.27","12.00","0.29","3"
"40320.00","2685","16608.00","6.19","45.00","52596.00","19.59","61.00","4327.00","10.73","12.00","0.28","3"
"40320.00","2685","16608.00","6.19","45.00","52596.00","19.59","61.00","4327.00","10.73","12.00","0.28","3"
"40320.00","2676","17384.00","6.50","55.00","53205.00","19.88","70.00","4510.00","11.19","12.00","0.27","4"
"40320.00","2679","19024.00","7.10","52.00","54763.00","20.44","67.00","4581.00","11.36","12.00","0.26","4"
"40320.00","2679","19024.00","7.10","52.00","54763.00","20.44","67.00","4581.00","11.36","12.00","0.26","4"
"40320.00","2699","20766.00","7.69","61.00","56934.00","21.09","71.00","4162.00","10.32","12.00","0.29","5"
"40320.00","2687","17593.00","6.55","70.00","53104.00","19.76","80.00","4812.00","11.93","12.00","0.25","6"
"40320.00","2687","17593.00","6.55","70.00","53104.00","19.76","80.00","4812.00","11.93","12.00","0.25","6"
"40320.00","2688","22327.00","8.31","83.00","58439.00","21.74","103.00","4218.00","10.46","12.00","0.28","7"
"40320.00","2689","23313.00","8.67","73.00","59623.00","22.17","88.00","4015.00","9.96","12.00","0.30","6"
"40320.00","2689","23313.00","8.67","73.00","59623.00","22.17","88.00","4015.00","9.96","12.00","0.30","6"
"40320.00","2683","17528.00","6.53","50.00","53073.00","19.78","65.00","4778.00","11.85","12.00","0.25","4"
"40320.00","2683","17528.00","6.53","50.00","53073.00","19.78","65.00","4778.00","11.85","12.00","0.25","4"
"40320.00","2676","17028.00","6.36","45.00","52754.00","19.71","58.00","4604.00","11.42","12.00","0.26","4"
"40320.00","2698","20436.00","7.57","77.00","56502.00","20.94","97.00","4249.00","10.54","12.00","0.28","6"
"40320.00","2695","21390.00","7.94","50.00","57835.00","21.46","70.00","3885.00","9.64","12.00","0.31","4"
"40320.00","2695","21390.00","7.94","50.00","57835.00","21.46","70.00","3885.00","9.64","12.00","0.31","4"
"40320.00","2702","20058.00","7.42","53.00","56346.00","20.85","68.00","4037.00","10.01","12.00","0.30","5"
"40320.00","2664","18106.00","6.80","58.00","53957.00","20.25","78.00","4479.00","11.11","12.00","0.27","5"
"40320.00","2664","18106.00","6.80","58.00","53957.00","20.25","78.00","4479.00","11.11","12.00","0.27","5"
"40320.00","2677","19902.00","7.43","50.00","56054.00","20.94","68.00","4176.00","10.36","12.00","0.29","4"
"40320.00","2678","16109.00","6.02","53.00","51931.00","19.39","68.00","4498.00","11.16","12.00","0.27","3"
"40320.00","2678","16109.00","6.02","53.00","51931.00","19.39","68.00","4498.00","11.16","12.00","0.27","3"
"40320.00","2701","18478.00","6.84","49.00","54909.00","20.33","65.00","3909.00","9.69","12.00","0.31","4"
"40320.00","2686","17003.00","6.33","61.00","52936.00","19.71","75.00","4392.00","10.89","12.00","0.27","5"
"40320.00","2686","17003.00","6.33","61.00","52936.00","19.71","75.00","4392.00","10.89","12.00","0.27","5"
"40320.00","2694","18684.00","6.94","68.00","54692.00","20.30","81.00","4315.00","10.70","12.00","0.28","5"
"40320.00","2668","18468.00","6.92","65.00","54270.00","20.34","85.00","4518.00","11.21","12.00","0.27","4"
"40320.00","2668","18468.00","6.92","65.00","54270.00","20.34","85.00","4518.00","11.21","12.00","0.27","4"
"40320.00","2684","18898.00","7.04","80.00","54736.00","20.39","95.00","4495.00","11.15","12.00","0.27","5"
"40320.00","2676","17666.00","6.60","53.00","53527.00","20.00","68.00","4469.00","11.08","12.00","0.27","4"
"40320.00","2675","17384.00","6.50","50.00","53436.00","19.98","65.00","4273.00","10.60","12.00","0.28","4"
"40320.00","2675","17384.00","6.50","50.00","53436.00","19.98","65.00","4273.00","10.60","12.00","0.28","4"
"40320.00","2678","17654.00","6.59","55.00","53475.00","19.97","70.00","4504.00","11.17","12.00","0.27","4"
"40320.00","2683","17882.00","6.66","65.00","53696.00","20.01","80.00","4501.00","11.16","12.00","0.27","5"
"40320.00","2683","17882.00","6.66","65.00","53696.00","20.01","80.00","4501.00","11.16","12.00","0.27","5"
"40320.00","2686","18762.00","6.99","60.00","54580.00","20.32","70.00","4505.00","11.17","12.00","0.27","5"
"40320.00","2700","22905.00","8.48","55.00","59479.00","22.03","70.00","3756.00","9.32","12.00","0.32","4"
"40320.00","2704","19727.00","7.30","60.00","56106.00","20.75","70.00","3949.00","9.79","12.00","0.30","4"
"40320.00","2704","19727.00","7.30","60.00","56106.00","20.75","70.00","3949.00","9.79","12.00","0.30","4"
